timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,position
3414146845,-19,-5,0,-3,1,-19,7,-42,1
3414146845,4,4,-1,0,4,41,-14,6,1
3414147585,25,-9,-1,10,12,-26,24,76,1
3414147585,4,12,2,3,-2,-9,-18,-39,1
3414148385,37,1,-7,10,7,54,38,38,1
3414148385,-14,-3,2,-4,3,11,32,-20,1
3414151149,-13,3,-1,-6,-7,2,-91,-12,1
3414151149,-11,-7,3,-2,-8,-50,6,-18,1
3414159017,-8,-1,-2,-1,-1,-20,-6,-9,1
3414159017,61,7,-8,9,9,-78,-7,43,1
3414175401,-17,1,0,-10,-11,24,17,-34,1
3414175401,-11,-1,-3,-5,-3,-29,13,-13,1
3414177217,-18,-1,2,-4,-9,-6,-29,-13,1
3414177217,-17,-4,2,-6,-6,-1,-9,-5,1
3414189536,-3,1,1,-3,-2,2,2,-60,1
3414189536,-1,-4,-4,-3,-3,-15,9,11,1
3414196198,6,1,-6,0,-3,16,-3,-10,1
3414196198,5,1,2,-2,8,72,-29,-1,1
3414210794,1,-3,0,2,1,-14,22,19,1
3414210794,-31,-8,-5,-2,-2,27,-7,-10,1
3414220160,33,7,7,5,7,-25,-21,39,1
3414220160,-5,-2,-2,5,-1,5,60,30,1
3414234463,-17,0,-3,-5,-4,0,-41,-12,1
3414234463,0,-3,2,1,9,32,-29,-5,1
3414274022,-15,-8,0,2,6,65,-11,18,1
3414274022,12,1,-2,-2,-5,-3,0,-3,1
3414274846,-2,-2,-2,-4,-8,-28,11,-2,1
3414274846,10,0,-3,8,13,2,-6,-5,1
3414275637,5,2,3,-4,-2,-22,16,48,1
3414275637,-4,-4,-2,0,-4,-1,-12,3,1
3414278748,-6,2,-1,0,-2,-47,-8,-3,1
3414278748,-2,0,0,-4,-6,20,-37,-35,1
3414285681,9,1,2,-3,0,-6,30,23,1
3414285681,-24,-2,3,-5,-4,-69,-38,-35,1
3414293072,24,9,2,0,3,57,-19,-20,1
3414293072,-7,-8,1,0,-3,-28,6,14,1
3414302067,-14,3,2,-2,-4,-17,-36,-43,1
3414302067,8,-5,1,1,-4,-20,32,67,1
3414316302,-7,-5,-5,0,0,28,27,-16,1
3414316302,-3,3,1,2,2,11,3,-8,1
3414323117,-7,-6,1,-13,-18,-72,-45,42,1
3414323117,32,3,1,12,14,96,89,16,1
3414347541,5,0,-7,4,7,11,-2,-41,1
3414347541,-8,-1,1,-6,-4,19,20,10,1
3414349048,-6,-2,-3,-3,-12,-71,45,-6,1
3414349048,-20,2,7,-5,-3,-5,-14,-14,1
3414361295,6,-3,2,-2,-2,-3,-25,14,1
3414361295,-17,-4,0,-10,-15,-44,-57,-54,1
